"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","490352005","1","0.4","ppm","5","Copper View","19","79.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/02/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/03/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/04/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/05/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/06/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/07/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/08/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/09/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/10/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/11/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/12/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/13/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/14/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/15/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/16/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/17/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/18/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/19/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/20/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/21/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/22/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/23/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/24/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/25/2022","AQS","490352005","1","0.4","ppm","5","Copper View","20","83.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/26/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/27/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
